row_id,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,feature_0429
1,1.0,2011-01-01,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.24,0.25083067889476074,0.81,0.0,3.0,13.0,16.0,0.24
2,2.0,2011-01-01,1.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.22,0.2336679038662721,0.8,0.0,8.0,32.0,40.0,0.22
3,3.0,2011-01-01,1.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,0.22,0.23031099922413265,0.8,0.0,5.0,27.0,32.0,0.22
4,4.0,2011-01-01,1.0,0.0,1.0,3.0,0.0,6.0,0.0,1.0,0.24,0.24979292479960724,0.75,0.0,3.0,10.0,13.0,0.24
5,5.0,2011-01-01,1.0,0.0,1.0,4.0,0.0,6.0,0.0,1.0,0.24,0.24699935786627125,0.75,0.0,0.0,1.0,1.0,0.24
6,6.0,2011-01-01,,0.0,1.0,5.0,0.0,6.0,0.0,2.0,0.24,0.24213415406973846,0.75,0.0896,0.0,1.0,1.0,0.24
7,7.0,2011-01-01,1.0,0.0,1.0,6.0,0.0,6.0,0.0,1.0,0.22,0.2273884534079883,0.8,0.0,2.0,0.0,2.0,0.22
8,8.0,2011-01-01,1.0,0.0,1.0,7.0,0.0,6.0,0.0,1.0,0.2,0.21102734974386206,0.86,0.0,1.0,2.0,3.0,0.2
9,9.0,2011-01-01,1.0,0.0,1.0,8.0,0.0,6.0,0.0,1.0,0.24,0.24646962542917808,0.75,0.0,1.0,7.0,8.0,0.24
10,10.0,2011-01-01,1.0,0.0,1.0,9.0,0.0,6.0,0.0,1.0,0.32,0.30800735063609797,0.76,0.0,8.0,6.0,14.0,0.32
11,11.0,2011-01-01,1.0,0.0,1.0,10.0,0.0,6.0,0.0,1.0,,0.3939,0.76,0.2537,12.0,24.0,36.0,
12,12.0,2011-01-01,1.0,0.0,1.0,11.0,0.0,6.0,0.0,1.0,0.36,0.35034968311809256,0.81,0.2836,26.0,30.0,56.0,0.36
13,13.0,2011-01-01,1.0,,1.0,12.0,,6.0,0.0,1.0,0.42,0.4077403037387751,0.77,0.2836,29.0,55.0,84.0,0.42
14,14.0,2011-01-01,1.0,0.0,1.0,13.0,0.0,6.0,0.0,2.0,0.46,0.44166062226968544,0.72,0.2985,47.0,47.0,94.0,0.46
15,15.0,2011-01-01,1.0,0.0,1.0,14.0,0.0,6.0,0.0,2.0,0.46,0.4418458172897686,0.72,0.2836,35.0,71.0,106.0,0.46
16,16.0,2011-01-01,,0.0,1.0,15.0,0.0,6.0,0.0,2.0,0.44,0.4279215136480194,0.77,0.2985,40.0,70.0,110.0,0.44
17,17.0,2011-01-01,1.0,0.0,1.0,16.0,0.0,,,2.0,0.42,0.40165493032809224,0.82,0.2985,41.0,52.0,93.0,0.42
18,18.0,2011-01-01,1.0,0.0,1.0,17.0,0.0,6.0,0.0,2.0,0.44,0.4165778948671034,0.82,0.2836,15.0,52.0,67.0,0.44
19,19.0,2011-01-01,1.0,0.0,1.0,18.0,0.0,6.0,0.0,3.0,0.42,0.4055725305458995,0.88,0.2537,9.0,26.0,35.0,0.42
20,20.0,2011-01-01,1.0,0.0,1.0,19.0,0.0,6.0,0.0,3.0,0.42,0.4115352562749229,0.88,0.2537,6.0,31.0,37.0,0.42
21,21.0,2011-01-01,1.0,0.0,1.0,20.0,0.0,6.0,0.0,2.0,0.4,0.3986221240653203,0.87,0.2537,11.0,25.0,36.0,0.4
22,22.0,2011-01-01,1.0,0.0,1.0,21.0,0.0,6.0,0.0,2.0,0.4,0.3937683288115848,0.87,0.194,3.0,31.0,34.0,0.4
23,23.0,2011-01-01,1.0,0.0,1.0,22.0,0.0,6.0,0.0,2.0,0.4,0.38170444233654455,0.94,0.2239,11.0,,28.0,0.4
24,24.0,2011-01-01,1.0,0.0,1.0,23.0,0.0,6.0,0.0,2.0,0.46,0.4419233158998378,0.88,0.2985,15.0,24.0,39.0,0.46
25,25.0,2011-01-02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.46,0.4445447525375598,0.88,0.2985,4.0,13.0,17.0,0.46
26,26.0,2011-01-02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.44,0.42625752202950645,0.94,0.2537,1.0,16.0,17.0,0.44
27,27.0,2011-01-02,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.42,0.41033009711110147,1.0,0.2836,1.0,8.0,9.0,0.42
28,28.0,2011-01-02,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.46,0.4382528787539529,0.94,0.194,2.0,4.0,6.0,0.46
29,29.0,2011-01-02,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.46,0.44351713512491614,0.94,0.194,2.0,1.0,3.0,0.46
30,30.0,2011-01-02,1.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.42,0.40969226068013775,0.77,0.2985,0.0,2.0,2.0,0.42
31,31.0,2011-01-02,1.0,0.0,1.0,7.0,0.0,0.0,,2.0,0.4,0.3940017523045911,0.76,0.194,0.0,1.0,1.0,0.4
32,32.0,2011-01-02,1.0,0.0,1.0,8.0,0.0,,0.0,3.0,0.4,0.3852562123505067,0.71,0.2239,0.0,8.0,8.0,0.4
33,33.0,2011-01-02,,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.38,0.36985869040114505,0.76,0.2239,1.0,19.0,20.0,0.38
34,34.0,2011-01-02,1.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,0.36,0.33844190128536455,0.81,0.2239,7.0,46.0,53.0,0.36
35,35.0,2011-01-02,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.36,0.34914897995244465,0.71,0.2537,16.0,54.0,70.0,0.36
36,36.0,2011-01-02,1.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.36,0.3496692292651553,0.66,0.2985,20.0,73.0,93.0,0.36
37,37.0,2011-01-02,1.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,0.36,0.3474707272822252,0.66,0.1343,11.0,64.0,75.0,0.36
38,38.0,2011-01-02,1.0,0.0,1.0,14.0,0.0,0.0,0.0,3.0,0.36,0.35382432165339295,0.76,0.194,4.0,55.0,59.0,0.36
39,39.0,2011-01-02,1.0,0.0,1.0,15.0,0.0,0.0,0.0,3.0,0.34,0.3347701013357157,0.81,0.1642,19.0,55.0,74.0,0.34
40,40.0,2011-01-02,1.0,0.0,1.0,16.0,0.0,0.0,0.0,3.0,0.34,,0.71,0.1642,9.0,67.0,76.0,0.34
41,41.0,2011-01-02,1.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,0.34,0.3229588344927915,0.57,0.194,7.0,58.0,65.0,0.34
42,42.0,2011-01-02,1.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,0.36,0.35363580282871976,0.46,0.3284,10.0,43.0,53.0,0.36
43,43.0,2011-01-02,1.0,0.0,1.0,19.0,0.0,0.0,0.0,1.0,0.32,0.31132096350134864,0.42,0.4478,1.0,29.0,30.0,0.32
44,,2011-01-02,,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.3,0.30103469957576057,0.39,0.3582,5.0,17.0,22.0,0.3
45,45.0,2011-01-02,1.0,0.0,1.0,21.0,0.0,,0.0,1.0,0.26,0.2553762899736083,0.44,0.3284,11.0,20.0,31.0,0.26
46,46.0,2011-01-02,1.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,0.24,0.24454239257462182,0.44,0.2985,0.0,9.0,,0.24
47,47.0,2011-01-02,1.0,0.0,1.0,23.0,0.0,0.0,,1.0,0.22,0.22590905772749761,0.47,0.1642,0.0,,8.0,0.22
48,48.0,2011-01-03,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.22,0.2281429043903235,0.44,0.3582,0.0,5.0,5.0,0.22
49,49.0,2011-01-03,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.20886701825417817,0.44,0.4179,0.0,2.0,2.0,0.2
50,50.0,2011-01-03,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.16,0.17110066769718923,0.47,0.3881,0.0,1.0,1.0,0.16
51,51.0,2011-01-03,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.16,0.16423291169799498,0.47,0.2836,0.0,3.0,3.0,0.16
52,52.0,2011-01-03,1.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,0.14,0.1462300475733731,0.5,0.3881,0.0,30.0,30.0,0.14
53,53.0,2011-01-03,,0.0,1.0,7.0,0.0,1.0,1.0,1.0,0.14,0.15192795698502914,0.5,0.194,1.0,63.0,64.0,0.14
54,54.0,2011-01-03,1.0,0.0,1.0,8.0,,1.0,,1.0,0.14,0.15455766746165372,0.5,0.2836,1.0,,154.0,0.14
55,55.0,2011-01-03,1.0,0.0,1.0,9.0,0.0,1.0,,1.0,0.16,0.1692078585574074,0.43,0.3881,7.0,81.0,88.0,0.16
56,56.0,2011-01-03,1.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,0.18,0.19413967797709653,0.43,0.2537,11.0,33.0,44.0,0.18
57,57.0,2011-01-03,1.0,0.0,1.0,11.0,0.0,1.0,1.0,1.0,0.2,0.20715469626831845,0.4,0.3284,10.0,41.0,51.0,0.2
58,58.0,2011-01-03,1.0,0.0,1.0,12.0,0.0,1.0,1.0,1.0,0.22,0.22179780401662574,0.35,0.2985,13.0,48.0,61.0,0.22
59,59.0,2011-01-03,1.0,0.0,1.0,13.0,0.0,1.0,1.0,1.0,0.24,0.24289071696264233,0.35,0.2836,8.0,53.0,61.0,0.24
60,60.0,2011-01-03,1.0,0.0,1.0,14.0,0.0,1.0,1.0,1.0,0.26,0.263911817534788,0.3,0.2836,11.0,66.0,77.0,0.26
61,61.0,2011-01-03,1.0,0.0,1.0,15.0,0.0,1.0,1.0,1.0,0.26,0.2644426694669541,0.3,0.2537,14.0,58.0,72.0,0.26
62,62.0,2011-01-03,1.0,0.0,1.0,16.0,0.0,1.0,1.0,1.0,0.26,0.2727706319946852,0.3,0.2537,9.0,67.0,76.0,0.26
63,63.0,2011-01-03,1.0,0.0,1.0,17.0,0.0,1.0,1.0,1.0,0.24,0.24125164897700652,0.3,0.2239,11.0,146.0,157.0,0.24
64,64.0,2011-01-03,1.0,0.0,1.0,18.0,0.0,1.0,1.0,1.0,0.24,0.24535262980143133,0.32,0.1045,9.0,148.0,,0.24
65,65.0,2011-01-03,1.0,,1.0,19.0,0.0,1.0,1.0,1.0,0.2,0.21320990433938813,0.47,0.0,8.0,102.0,110.0,0.2
66,66.0,2011-01-03,1.0,0.0,1.0,20.0,0.0,1.0,1.0,1.0,0.2,0.20989097627266406,0.47,0.1045,3.0,49.0,52.0,0.2
